X Field (G)	Y Field (G)	Z Field (G)	Field Mag (G)	Phi (Deg)	Theta (Deg)	S21 Abs (dB)	S12 Abs (dB)	S11 Abs (dB)
37.300503	3.940861	0.159161	37.508443	6.031022	89.756874	-26.298742	-26.350231	-18.500925
36.766422	3.505445	0.069075	36.933219	5.446325	89.892842	-26.300299	-26.359861	-18.500704
35.578143	3.400344	0.251392	35.741150	5.459403	89.596996	-26.322435	-26.393459	-18.500910
34.814556	3.574082	0.343623	34.999221	5.861483	89.437460	-26.331131	-26.409075	-18.500872
33.596249	3.756399	-0.153995	33.805949	6.379748	90.260999	-26.349333	-26.431812	-18.501249
31.805252	3.286664	-0.087503	31.974738	5.899842	90.156798	-26.365944	-26.473764	-18.501150
30.788566	3.679182	-0.299849	31.009065	6.814436	90.554043	-26.384777	-26.504448	-18.501324
30.177268	3.050725	-0.364196	30.333266	5.772617	90.687938	-26.397560	-26.530512	-18.500931
29.617447	3.160115	-0.044605	29.785592	6.090289	90.085803	-26.405056	-26.545815	-18.501516
28.712296	3.009971	0.167741	28.870123	5.984580	89.667099	-26.420336	-26.569201	-18.501268
27.633408	2.945624	0.341478	27.792059	6.084552	89.295995	-26.429617	-26.599047	-18.501007
26.455854	2.649627	-0.025301	26.588219	5.719259	90.054522	-26.457726	-26.648428	-18.501158
25.735165	2.759017	-0.085358	25.882778	6.119197	90.188955	-26.448723	-26.654438	-18.501015
24.815000	2.864118	-0.008142	24.979741	6.583878	90.018675	-26.504004	-26.732931	-18.501217
23.615997	2.514498	0.365072	23.752291	6.077633	89.119331	-26.511015	-26.776951	-18.501583
22.704412	2.617453	-0.025301	22.854803	6.576250	90.063428	-26.493456	-26.787117	-18.501488
21.565466	2.061922	0.184900	21.664604	5.461575	89.510995	-26.501593	-26.820465	-18.501495
20.111219	2.381514	0.099104	20.251977	6.753354	89.719620	-26.506115	-26.904331	-18.501513
19.506356	2.514498	0.172030	19.668508	7.345297	89.498857	-26.514929	-26.934362	-18.501604
19.049491	2.059778	-0.038170	19.160564	6.171285	90.114141	-26.518024	-26.976171	-18.501501
17.852633	2.029749	0.000438	17.967648	6.486371	89.998604	-26.503305	-27.009256	-18.501736
16.301865	1.684419	-0.254806	16.390637	5.899252	90.890746	-26.450352	-27.018129	-18.501289
15.540423	1.665115	0.169886	15.630298	6.115756	89.377241	-26.431402	-27.067329	-18.501415
14.929124	1.336944	0.221363	14.990503	5.117343	89.153888	-26.363691	-27.037937	-18.501163
13.925308	1.251148	-0.057475	13.981519	5.134071	90.235530	-26.264074	-26.918320	-18.501253
12.464626	1.017353	0.135567	12.506810	4.666093	89.378933	-26.215986	-26.992264	-18.500856
11.606664	1.324074	0.262117	11.684884	6.508100	88.714627	-26.170561	-26.957718	-18.500477
10.358328	1.351958	0.197769	10.448055	7.436151	88.915394	-26.082174	-26.766817	-18.501375
9.650509	1.169641	0.221363	9.723650	6.910540	88.695523	-26.083069	-26.788052	-18.501417
8.891211	1.317640	-0.021011	8.988340	8.429638	90.133935	-26.072727	-26.593971	-18.501167
7.597833	0.940136	0.021887	7.655808	7.053777	89.836199	-26.311354	-26.142120	-18.500818
